total_rooms,house_value
1695,68.5
826,58.8
3861,124.7
1133,72.1
4981,76.9
4874,90
2774,104.1
5236,93.4
9033,95
880,67.5
278,50
1664,92.9
7437,382.4
934,83.7
452,65.8
12991,199.3
3584,167.4
2387,137.5
2352,55.4
2214,93.4
4686,91.8
4497,98
1880,54.2
4256,81
1791,100
1808,57.4
19107,158.5
12327,353.1
2746,176.4
1969,62.3
2595,110.7
12557,78.5
8626,121.3
8806,318.1
4890,98.7
4985,65
2104,116.3
17579,194.5
11836,134.5
12509,258.1
5583,73.3
11115,74.4
7646,128
11659,238.8
5648,78
4855,97.8
3059,259.2
2475,168.8
4289,177.8
7095,285
16921,341.7
3895,138.3
186,103.1
6683,84
6710,115.1
2596,500.001
1867,98.1
5584,72.4
5293,88.4
4872,97.5
846,403.3
5534,99.1
5228,134.6
2680,127.1
4863,104.2
2565,83
5473,65.3
2233,85.2
9169,142.5
10105,90.9
1781,113.6
3254,81
9425,145.2
1294,115.3
3316,65.9
8789,148.9
4332,146.4
7249,66.6
343,87.5
5032,94.8
4810,248.1
3149,64.7
8502,51.3
4913,61.1
3369,66
1284,61
3921,89.6
7559,112.5
4465,130.4
10227,145.2
4454,189.9
2990,68.2
4423,125.2
10077,110.9
8399,159
2547,220.5
6814,124.1
6087,199.4
6050,183.9
9374,235.6
2992,500.001
6928,69.6
1765,321.9
1985,148.2
9975,22.5
260,76.6
551,50
7962,230.2
489,345.5
4085,116.5
3730,113.5
1731,172.9
2522,198.1
6438,67.4
4115,169.1
843,240.6
349,193.8
3460,161.1
1820,156.3
549,66.3
4527,81.7
3166,122.9
2385,214.3
4190,158.2
5277,143.4
4863,217.4
3348,308.6
3959,111.4
42,42.5
1251,173.4
3311,187.2
4085,214.5
2307,63
12480,221
319,90
4281,231.8
2652,206.1
324,100
3874,274.6
5799,84.7
8948,90.8
3123,167.8
5673,199.2
1066,119.3
2502,202.1
3606,57.4
5806,163.1
4234,197.6
4760,147.8
658,58
521,91.1
2604,170.7
9044,164.5
401,170.2
5799,285.4
1747,187.2
4448,73.4
3141,54.6
4116,130.8
1153,128.1
2053,248.9
3268,259.9
1089,176
4137,226.5
898,225
3419,128.6
1495,55
3111,140
7217,166.7
3204,171.5
3049,196.6
4549,72.6
2653,81
6900,146.3
2719,81.7
1016,137.5
2816,210.9
1743,158.3
3560,185.3
2652,293.1
337,55
3481,77.7
3018,189.7
3915,98.6
3183,71.8
2281,127.9
652,93.8
4132,234.5
3213,167.2
3090,189.2
4215,146.9
3612,153.8
3770,294.7
3600,307.1
553,193.8
10886,123.4
6807,189.7
3048,147.1
3153,131
3699,139.5
4152,159.5
5203,174.4
1978,170.1
4331,232
1943,208.8
4058,316.4
4630,300.3
397,143.8
1378,145
4675,178
1765,165.3
2492,155.7
2784,184.6
1518,160.4
4192,159.1
1859,181.3
7804,95.6
6027,121.5
3757,112.8
3490,239.9
3722,211.9
4116,150
3273,119
1283,163.5
4129,171
2447,125.4
5759,140.6
3354,142.3
6541,78.5
12342,153.5
7240,137.6
2901,118.9
5160,120
2541,227.8
2824,177.2
1607,166.3
1701,147.8
1737,159.2
3042,137.5
7906,109.8
13559,193.2
14934,229.7
5320,116.3
10997,95.3
3409,74
6890,95.9
4676,109.5
2238,85.8
2233,89.4
1996,91.2
4587,94.5
1183,173.9
2921,117
2087,222.6
1307,129.4
12517,168.7
3038,144.9
5535,108.3
1277,147.7
2619,100
11391,123.2
2432,138.1
3425,296.4
3308,303.4
5543,266.2
1635,157.1
2355,88.5
1211,44.7
1999,81.9
2990,83
3269,76.3
3649,87.6
4735,87
3047,186.5
4713,158.5
3064,160.3
9724,166.1
2378,152.5
3421,134.4
4574,124.1
3920,120.8
1081,133.7
3008,123.8
5236,138.8
2807,132.8
5876,112.1
3197,91.2
2793,73.2
2680,74.8
2712,86.2
3674,76.9
5149,287.5
149,112.5
3927,111.4
1255,113.6
4108,112.5
1255,138.6
1113,136.4
8902,226.9
3071,228.9
2460,270.7
3519,186.9
7410,176.1
16450,233.4
1262,153.3
2098,133.9
739,117.5
2290,316.7
3459,89.8
2277,73.2
376,68.3
2228,139.3
5829,107.9
4952,85.7
7320,151.7
2121,153.2
7718,146.4
3570,134.5
5721,164.4
3756,189.7
3558,379.6
4137,214
1519,170.8
977,173.7
3361,162.3
952,175.3
1078,223.3
2355,121.4
2741,70.5
6060,69
5055,157.1
4227,195.9
503,147.5
10352,113.1
7626,69.4
9601,77
16148,97.8
1614,43
5509,181.3
5211,134.2
6696,154.6
4436,201
10968,250
3657,195.8
2420,165.1
3623,165.8
1114,222.8
2306,301.6
3341,215.3
3101,189.9
1856,153.8
825,169.5
1771,143.3
1330,149.6
1112,169.5
3049,113.8
3660,150.1
4331,193.5
2637,69.4
6862,87.2
5330,94.4
2073,419.2
11544,150.4
1888,140.8
1816,150.3
2114,241.4
1802,173.5
2545,226.8
1989,189.1
2357,118.8
3817,143.2
2263,123.5
2785,131
2238,264.1
3098,170.4
2181,55.5
2194,72
2599,70.4
5592,135.2
4775,118.8
4595,362.3
3372,378.3
2592,151.4
1951,143.3
15401,121.9
4499,185.1
4203,193.5
2705,168.9
1558,160.2
1042,84.2
4015,159.3
3776,155.3
2616,235.6
841,149.3
3330,164.2
3415,223.7
3626,189.6
2105,152.5
4038,178.1
3473,135.2
2526,120.8
2914,132.3
3506,129.1
2327,132.2
2321,120.8
2319,266.9
9992,293.9
6483,221.6
619,14.999
1199,61.6
3111,69.3
4415,191.6
1822,105.2
6317,108.9
1317,120.7
3700,112.5
8278,134.7
1972,337.2
1909,160.1
4013,148.3
1950,164
1998,180.9
3173,182.2
1232,168.9
2369,177.2
2211,147.9
3481,158.2
2567,163
2523,185.7
1204,154.2
3296,217.1
4205,144.7
3301,119.2
5201,141.4
2030,126.9
3187,118.5
2756,125.4
3986,267.4
1505,245.2
771,273.6
260,281.7
1902,98.1
2718,76.6
2245,101.5
3784,220.3
3501,113.5
78,187.5
1088,243.8
5391,212.8
3142,248.3
3424,182.1
1765,209.7
3866,220
2366,174.4
3859,220.5
5481,171.3
1796,161.2
4819,118.2
7879,187.3
821,130.4
1878,129.7
3174,123.6
2061,142
1750,154.4
886,125.4
2192,120.6
2328,99.6
3126,103
2304,109.9
2460,175.5
3201,179.4
901,156.1
5094,266.6
1111,290.5
2796,213.7
2087,227.7
1028,166.9
1884,66.8
3474,98.3
3375,92
4663,103.5
3750,104.9
4624,132.1
13814,150
4677,335.6
2852,296.2
922,342.3
9518,314.9
1332,192.9
6711,175.7
6525,436.1
2205,177.4
2880,254.2
2504,243.4
1802,146.7
2491,306.8
1824,143.8
7963,144.7
3171,141.4
2979,152.2
2297,144
2878,132
3880,140.7
5474,137
5274,109.8
3417,158.9
2132,89.3
1875,115
3464,137.5
3362,303.9
8806,247.8
2329,225.6
2756,181.6
2074,160.2
1710,151.9
8052,139.8
4747,152.9
2029,132.1
2355,152.1
2206,93.2
938,67.5
1199,62
3967,111.8
3009,104.6
3098,106.7
5484,116.7
3471,347.7
1800,267.6
3103,264.7
4552,136.3
2427,167.5
7746,98.5
2385,169.9
4393,223.5
7916,278.6
1840,400
917,260.1
3558,211.1
3430,429.3
9911,194.3
3593,165.8
4814,167.8
3039,178.6
4046,197
1885,228.6
1905,249
3309,330.6
1475,180.4
1561,94.6
1184,161.7
3535,158.3
2556,147.7
1887,159.6
1718,133.7
2024,139.8
2144,137.3
2767,142.9
2178,115.3
3184,133.9
3669,133.9
1777,117
831,165.5
991,144.3
1689,143.8
3414,129.8
1469,150.4
1828,165.1
4227,137.8
2168,153.8
4911,160.1
3928,144.5
1563,139.3
6034,129.7
1919,131.9
4683,98.3
2185,132.7
2101,136.9
2172,139.3
1215,114.9
985,134.5
2828,59.6
2520,89
1945,126.2
3912,116.3
1575,94.4
2813,145.3
5465,174.8
2155,147.5
8742,143.5
7483,262.5
1785,278
2023,265.4
830,121.1
2635,261.5
2470,209.2
1306,180.7
4754,192.3
3939,234.7
2247,222
3787,391.3
2524,331.8
1730,161.8
2269,161.8
1549,150.5
1629,156.8
2516,125.9
1917,129.2
3444,126.7
2669,116.9
1864,125.7
2397,145.2
521,158.9
1520,157.7
705,154.9
2665,113.5
1481,125.8
3815,125
4047,125
3425,234.6
4494,186.1
1326,160.2
4168,169.8
786,189.7
4325,128.3
905,108.2
1075,94.6
1088,107.3
2724,147.7
3435,107.6
2879,142.4
1268,123.6
1384,95
2252,141.1
1269,156.5
2706,125
2803,140.4
3223,108.8
4773,115
4928,112.5
1893,157.7
2994,180.4
2546,160.6
555,137.5
6817,135.3
2474,146.3
4578,187.7
2453,127
2055,139.9
5565,142.3
2756,444.1
2271,210.1
1095,328.2
6665,268.5
2863,148.2
5870,294.1
2120,169.4
9153,241.5
6242,281.6
2234,477.6
2028,168.9
2550,181
2698,195.1
3725,268.3
922,218.8
3779,184
1130,167.6
2245,185.5
1827,176.6
2523,138.1
3464,119.1
2690,154.2
2036,120.7
3073,144.7
1042,116.9
2968,154.2
1758,141.8
2754,89.6
2448,109.1
4151,123.4
2763,143
1429,118
1485,153.3
2192,135
1475,142.2
3200,95.6
2758,112.3
4131,204.9
1486,150.4
5135,172.8
2873,129.5
1706,154.9
2372,145.5
2303,156.9
5016,155.9
5016,135.5
1686,128.4
2602,67.5
1779,96.2
2961,131.4
1527,93.6
3648,142.6
1777,79.8
45,500.001
3862,115.7
3111,122.8
1771,148.2
3337,272.2
2629,156.8
1497,154.2
1430,160.9
8466,113.7
1060,145.5
674,114.3
1832,116.7
1356,115.1
2094,127.7
3792,178.3
3400,249.1
2577,264.1
1339,137.2
987,229.3
3023,137.9
2296,160.6
5659,238.7
17466,246.5
14944,308.3
1547,327.9
1653,248.4
13703,260.6
5177,271.7
2963,184.5
2919,222.8
1070,219.2
3911,184.1
1221,155.4
2547,140.3
1704,125
1989,118.3
1111,128.1
1821,95.3
3260,126.5
2359,124.7
3331,122
1158,122.5
2935,111.3
2204,86.2
2176,98.9
2103,97
1571,111.4
2558,117
3071,112.4
3635,122.6
3008,118.2
1004,103.4
2296,123.8
2633,147
917,150
1651,141.7
2891,139.8
2504,159.4
2080,146.3
1674,150.4
2468,158.6
5192,151.9
2264,149.1
1901,121.9
2888,153
144,134.4
2128,131
6298,88.3
1347,87.5
6260,103
1974,90.5
3958,137.5
5685,129.9
567,122.5
1713,171.6
2876,177
3215,216.8
2175,201.4
1125,268.8
2012,255.7
2005,282.2
1989,255.1
4138,264
6100,288.2
2163,174.1
666,131.3
1936,170
1529,171.2
2183,169.7
1708,165.3
2065,216.5
3062,291.5
1139,203.1
3889,223
2567,159.1
1235,122.5
1922,118.8
1899,84.4
1220,105
1245,95
1701,95.5
3130,93.2
3114,124.1
1273,102.5
1096,111.8
2238,96.8
3375,106.3
2409,94.2
1102,108.3
1645,108
2662,120.6
1792,100
2569,104.9
1157,117
2051,108.9
844,136.3
833,127.1
3509,150
1445,145.8
2095,145.9
3171,142.7
3613,147.5
1999,57.5
620,150
2920,67.5
1925,129.7
1576,129.7
1157,118.8
1945,113
2565,135.3
1817,139.5
444,138.9
2198,160.7
6533,144.4
5110,112.8
4397,108.4
4144,96
1868,307.6
3518,168.8
2465,183.8
3159,161.1
10665,159.5
961,275
15502,261.1
3167,85.8
3619,167.6
2994,184.3
4214,179.5
4449,281.6
2606,270.8
987,151.8
1835,139.6
1858,85.2
2063,94.8
2355,99.2
2426,103.4
2422,92.4
1976,89.8
1772,94.1
2361,93.4
2927,102.9
1615,137.2
1931,92.6
939,87.9
2002,86.3
633,95.6
1269,87.2
1292,98
4174,103.6
3071,83.1
1412,93.6
771,90.3
1044,97.8
1012,88.9
2629,109.1
1690,110.6
1635,92.9
1782,106.3
1578,134.7
2350,87.5
1061,136.8
2616,127.6
1662,120.8
2046,132.8
2343,144.9
5058,133.7
2687,146.8
3026,111.2
1254,149
2715,139.6
1914,161.2
4174,96.1
4799,71.3
5819,298.1
3154,222.4
8374,191.1
3208,190.5
52,200
2641,132.4
1531,263.6
4694,231.8
1840,310.6
2043,161.5
4608,243
4241,166.5
3980,175
3428,67.5
3890,67.5
2574,96.9
1791,129.3
2470,73.5
2220,133.2
1506,300
1484,331.4
1729,167
1502,190.3
2030,114.2
1457,122.7
2226,126.3
2188,114.4
695,90.6
2131,102.1
2127,100
1667,101.1
1607,100
1126,123.1
684,90.3
2846,98.7
1689,97.3
1096,126.7
1491,88.6
1729,85.9
1040,83.2
2045,83.3
2028,79.4
1980,86.4
395,86.5
2395,86.3
1421,93.4
1144,91.8
26,125
280,83.3
204,47.5
928,92.5
515,93
1619,67.5
1846,131.5
2329,153.1
2020,143.2
1869,135.6
2894,125
1613,110.4
281,120.8
2495,146.6
30401,212.3
3016,232.8
2810,182.8
1710,163.6
2363,172.6
1032,186.6
3050,156.3
2869,238.3
3670,218.1
9018,263.7
1427,218.9
3405,114.6
3249,92.5
1743,138.2
1727,166.3
2863,174.2
2782,124.2
2012,175
2167,192.2
2279,139
2160,128.1
1605,147.5
1426,118.8
2681,116.1
1559,150
2344,118.3
1406,114.6
2060,119.2
2671,106.7
2795,101.8
1969,163.4
1898,155.2
2307,168.8
6096,159.1
1256,78.5
421,111.3
818,65.7
1361,78.1
1011,84.1
819,90.5
200,93.8
1082,88.5
2003,136.7
1360,131.6
1738,174.1
2524,257.7
3254,57.1
2251,104.1
2828,144.1
1181,150
3078,163.2
1611,244.4
2241,193.2
2618,171.4
1649,170.7
2258,153.9
3164,80
3486,249.5
2267,240.2
4846,180.4
2918,195.5
1481,163.4
2173,169.6
1580,191.1
1565,192.3
3230,151.2
1450,196.3
2785,175.2
2119,166.5
2157,177.4
2129,174.9
2731,175.3
1606,108.3
1458,174.1
2582,171.7
1591,140
2568,162.5
2280,142.9
2623,127.1
1476,168.8
4142,174.1
2336,130.6
2279,150
1877,112.5
3999,135
2271,157.6
1512,185.3
1527,203.2
3355,170.1
2676,213.1
1911,221.1
1148,240.9
2706,145
2436,137.5
1560,199.1
2160,140.6
2197,120.3
1341,117.9
1285,126.6
1697,83.3
1145,87.5
993,82.7
1220,81.5
614,81.3
786,75.6
1210,78.9
1445,80.2
1179,70.2
7374,478.5
1870,159.4
1417,195.3
552,100
5542,162
2634,204.1
7561,269.6
4873,223.2
2889,208.3
4068,281.3
5546,199.8
1660,202.7
1149,168.4
1129,174.6
6126,264
9302,199.6
5949,241.5
2412,171.1
1946,171.2
1474,166.7
1308,106.3
3069,132.5
3242,184.7
3014,160.3
2161,177.5
1748,179.1
2423,156.9
1267,169.6
3578,188.6
984,183
1785,160
2587,145.5
3025,164.1
3523,142.3
1832,129.2
1391,159.4
1961,118.1
1551,131.3
1494,172.7
6075,178.1
450,137.5
1073,168.8
1558,139.1
2533,160.4
979,100
800,87.5
1225,106.3
966,72
1647,82.9
1694,139.4
510,86.5
658,89.4
1126,87
1227,92.5
633,82.7
1280,77.3
5370,66.8
265,64.8
1039,171.9
1852,129.8
3670,127.4
1442,162.3
2832,237.2
5305,217.1
6305,111.5
9089,174.2
2690,294.6
4750,158.5
1070,158.9
15029,450.4
2969,168.3
1972,168.3
1613,169.3
2349,183.2
1413,166.7
2395,146.3
1577,205.1
2056,92.2
2361,302.2
1809,179.8
1921,175
2644,214.8
2818,204.2
3166,171.4
2383,263.6
344,137.5
1321,250
402,87.5
217,137.5
458,86.3
475,162.5
1579,73.8
9285,135.2
5306,135.8
2285,94.3
3215,149.9
2744,215.3
20391,187.3
4952,147.5
1988,404.5
1619,214.6
8576,189.1
2291,188
2275,176.3
4328,159
422,159.7
1399,187.5
2259,177.8
1731,154.3
3566,178.6
1566,137.5
1785,200
2474,245.5
5430,199.1
852,225
1815,418.8
1437,466.7
2335,261.5
1882,243.8
1682,112.5
1218,200
1245,225
1232,162.5
2508,325
1940,147.8
5151,90.8
4460,94.1
4236,165.5
15695,173.9
3867,164.4
1473,138.1
6573,108
4007,149.3
2877,121.5
4583,230.6
77,187.5
7401,177.3
3313,189.9
596,214.3
3541,212.5
1623,198.1
1569,187.5
3064,178.7
2424,184.1
2827,157.6
2262,123.6
1269,133.3
1104,145.2
3845,164.1
3856,164.8
1399,166.8
1052,289.6
5430,249
1514,240
3803,361.5
5054,289.4
55,112.5
408,116.7
1578,215
626,262.5
2493,205
311,187.5
4084,409.7
3168,422.2
2236,500.001
2802,334.6
5895,187.5
1617,67.5
3772,98.5
399,71.3
2243,90.3
1347,112.5
1306,75.3
1258,97.4
699,81.9
1953,85.1
1820,137
3436,122.3
2492,152.8
1697,169.3
270,500.001
5923,159.9
6225,117.5
3470,279.9
19001,260.9
3064,175.9
2290,165.1
1772,162
2346,182.8
1756,162.3
3436,204
6823,179.5
2456,198.5
3821,217.1
5201,140.4
4185,210
1215,200.6
2374,87.5
3694,158.9
711,67.5
1539,408.5
1504,459.6
2282,284.7
3132,274
1837,500.001
2764,432.4
2819,452.8
3112,320.8
7961,255.2
2167,97.7
4458,126.5
2467,84.7
2374,72.5
1467,72.8
6107,102.7
1949,117.6
3007,134.6
1688,117.8
2223,152.4
856,381.8
21060,143
5783,83.5
6484,136.4
108,187.5
3031,296.1
3310,314.4
3561,209.7
3716,267.4
4231,272.4
2895,417.5
2263,172
2492,197.1
2288,169.8
2197,192.9
1074,204
3850,208.2
5226,207
2593,166.3
1514,235.1
1788,238.4
3575,140.6
1294,500.001
25,162.5
1495,500.001
1388,411.6
1115,258.3
2921,482.7
4476,118.5
4201,92.2
4998,101.9
8414,92.5
9419,230.9
8106,137.2
1859,173.2
1920,144.8
2647,160
3998,126.7
3532,113.9
1587,173.4
1762,153.2
1265,161.3
5528,110.1
5373,98.6
4210,83.3
6323,92.4
5392,291.5
4992,307.3
4409,286.4
4091,199
2025,139.2
10394,411.3
4308,267
2033,181.4
1377,161.4
1217,171.6
4854,200
757,192.2
2079,300
2662,241.6
1952,196.9
4379,148.4
3326,167.6
1613,140.7
3037,92.9
1677,90.9
1245,89.4
1757,90.9
5749,143.1
2904,137.5
3063,224.7
18356,197.7
8403,155.5
10002,152.6
4198,122.1
8476,97.9
7722,150.9
5294,325.7
3337,253.7
1787,163.8
2937,196
4839,163.3
3068,168
1889,132.8
3261,258.9
3370,500.001
3194,500.001
6251,467.6
3114,156.1
1428,254.4
1352,260.7
3596,326
2800,148.6
2012,277.5
2158,182.1
1475,166
2259,162.5
3241,199.6
4773,184.8
1318,283.8
2496,302.1
1398,289.6
2072,262.1
1716,300
1245,334.5
12526,119.2
2449,109.9
4787,98.5
5951,110.2
2457,82.5
2512,77.2
2972,80.4
3065,129.2
5104,117
16884,130.9
8302,121.5
56,500.001
9911,113.7
5284,126.5
1810,109.2
1869,117.2
1585,493.3
3165,263.3
3675,190.8
1430,162.5
4400,198.8
1736,205.5
3004,216.9
4273,183.9
1487,135.7
4576,210.4
3511,176.6
3512,171
1647,274.4
2691,363.6
2936,176.9
3958,190.2
2558,200.4
1124,237.3
756,183.9
3738,303.1
730,362.5
1703,362.5
1906,183.3
6001,291
696,125
617,162
3914,225
1283,345.7
1260,345.2
2621,287.5
5756,167.8
4055,170.6
5036,137.2
2577,129.4
1145,68.7
4464,81.6
1439,73.5
2170,78.3
1162,81.3
9179,163.3
2405,114.2
13195,142
11775,136.6
1424,100
3318,89.3
3465,81.5
2108,83
3659,125.9
13724,183
3339,173.2
1991,240.1
2899,172
2334,97
3224,148.8
544,164.6
1934,213.8
3372,166
2554,192.5
4624,214.5
5320,279.6
3961,500.001
2718,500.001
1675,188.3
1703,209.8
1199,180.1
4229,316.7
3271,422.2
3205,406.3
3379,241.7
1297,244.4
2981,190.6
2429,229.4
2453,266.7
1824,137.5
2050,165
4304,159.8
1404,263.8
2615,238.2
2914,240.2
2827,500.001
5027,186.1
2041,140.2
3847,128.4
2383,107.5
3774,98.9
1203,87.5
2654,72.3
1920,73.2
3603,93.3
1775,223.9
3362,214.5
6617,132.6
1569,113.9
1031,136.3
6907,104.2
2704,227
2792,171.2
4687,180.9
2786,222.6
2866,257.3
1718,150.9
3756,196
1962,162.5
2486,151.4
1872,121.7
1846,111.3
1631,147.5
1569,159.4
3029,169.2
5827,344.2
3498,147.6
2512,369.1
6423,337
1591,329.3
2165,294.4
3479,500.001
2420,394.4
1588,332.4
1917,276.3
3433,234.8
1863,210
2205,112.5
2135,212.5
961,245.8
2539,275
1741,193.8
1149,241.7
2172,342.2
1989,226
2831,252.7
1856,220.6
1980,231.3
1718,284.9
1686,298.6
1488,321.8
2216,297.7
2260,388.3
3819,396.4
3089,466.7
4164,500.001
5841,158.2
3200,142.2
1709,116.6
2707,91.5
1516,159.4
1770,97.6
5163,114.5
2498,83.4
2898,90
3107,72.6
2910,70.8
2173,67.7
2981,85.8
3067,78.8
4503,93
5009,106.5
5761,161.1
13096,138.7
9812,124.6
1652,155.6
2699,137.3
1614,134.4
3536,146.7
1755,146.9
3725,247
2513,359
6160,205
2010,142.6
1944,127.2
1203,117
2361,124.5
2050,131.3
1891,207
8552,255.8
3676,171.9
3651,340.3
9859,296.2
2794,213.4
3416,324.6
3892,396
2518,485.3
4926,439.9
4773,406.2
4755,425.9
1804,370.5
1670,500.001
2530,500.001
2911,500.001
1759,500.001
6139,500.001
1846,311.9
2402,307.4
1601,258.3
2182,212.5
2442,295.5
1467,340.4
848,275
1627,317.1
1527,291.7
1479,350
2494,385.3
2021,362.5
1189,216.7
1929,205.8
3551,208.3
2186,257.1
1830,286.8
1240,248.2
1688,367.4
1840,383.6
2224,400
2632,345.8
1677,496.4
3103,151.6
4632,163.1
4597,99.3
4750,132.4
1937,123.7
2271,88.3
3521,87.5
2403,72.1
1210,59.3
4249,146.5
2221,154.6
1906,136
3163,121.9
2629,158.5
4540,225.6
2398,500.001
3730,227.1
5080,299.6
2660,319.8
2323,240.9
2229,278.3
3109,269.6
4632,369.8
2695,393.5
3900,226.9
2582,500.001
1721,500.001
1651,500.001
5484,500.001
1882,500.001
1036,500.001
1761,500.001
1663,500.001
1616,326.5
1328,290.6
2076,227.8
1446,450
1794,165.3
5643,93.3
6042,124.4
6988,125.7
3687,117.6
6339,110.4
30,250
1490,95.3
3795,96.4
1517,97.6
1298,83.8
3337,87.8
954,87.5
2209,78.8
2896,70.2
567,62.9
1093,73
418,82.1
5258,85.7
1703,138.2
337,164.8
8443,127.2
26322,228.9
6112,429
20908,198.5
2283,196.7
1420,90.8
5764,177.5
1852,156.9
2145,150.7
973,139.3
3371,215.7
2949,342.4
3686,367.1
3333,122.4
1839,214.6
1787,215.8
2899,220.9
2240,148.7
2144,286.1
2426,387.8
3318,382.1
1853,230.7
2105,488.9
3940,500.001
1877,410
1420,500.001
2820,405.2
2908,500.001
671,53.3
1932,55.6
4676,100.4
3474,128.6
3728,86.8
3106,122.2
2028,90.7
2469,122.1
1981,97.4
1734,122.2
2364,93.3
2190,81.9
2077,76.8
2456,66.1
2991,70.6
1573,69.5
376,90.8
1658,136.7
972,135.7
3623,86.9
6982,152.7
3498,118
1161,114.6
4573,163.6
2832,98.6
1472,175.6
2697,165.8
3002,157.3
676,178.1
2644,267.9
4459,252.7
1420,360.3
2455,381.3
2392,500
1838,193.8
1267,500
981,266.7
4168,247.7
1934,358.6
7922,40.4
1054,68.3
5934,108.3
4174,88.3
1820,102.6
1811,97
1683,97.3
1717,97.6
1598,82.9
1989,90
2424,77.9
2337,75.8
1648,68.2
1369,72.1
2198,65.8
2426,68
2014,78.8
8185,197.7
18767,160.6
4173,118.3
2248,110
16010,162.2
3109,153.8
2150,157.3
821,160.6
3780,111.4
2560,87.5
617,183
1380,168.8
6091,259.8
3225,346.7
2110,338.7
1146,300
2750,286.9
2355,500.001
1878,500.001
1174,56.5
2546,85.4
4493,74.3
6246,98.2
3572,105.1
4116,96.5
2685,111.1
2526,137.1
2483,89.7
740,88
1607,115
1781,89
2115,71.5
1629,63.5
525,67
567,73.3
4672,115.7
1678,133.8
2329,131
3619,98.5
14960,184.1
7880,182.6
2628,343.2
3147,284.8
2670,295.1
1797,331.3
1226,500.001
2299,79.9
2704,82.3
2443,116.7
1731,104
5130,71.9
1703,123.4
2404,151.9
4610,97.9
2795,87.1
5747,122.2
2037,96
1487,86.1
2011,89.4
1287,65.5
1076,66.4
1622,68.5
1412,70.9
851,64.9
1105,64.1
1457,68.1
1336,73.7
1697,74.6
2011,69.9
953,81.5
2936,70.9
7423,88.3
2785,149.5
2481,134.6
1199,151.6
1966,134.5
1634,129.3
3420,140.3
3173,129.2
981,157.4
3483,102.3
3075,97.1
20944,215.5
1835,87.7
1704,224.4
7974,188.1
2392,500.001
2035,369.4
1631,492.5
2367,500.001
2785,500.001
279,91.7
5904,92.8
3072,115.6
4584,93.4
4627,93.1
2032,120.1
1290,103.3
1068,109
5661,106.5
711,131
1691,66.6
1837,70.4
2210,66.4
2868,70.5
1229,67.3
801,59.7
2053,78.8
1585,75.3
1129,78.6
1308,84
1359,85.5
971,84
802,63.5
476,73.1
1779,123.1
3021,129.9
5464,133.5
3216,144.5
826,173.9
966,500.001
8206,170.9
2499,186.9
2580,169.3
1057,91.7
4784,108.9
13245,262.1
2670,354
3584,394.4
3781,97.1
3684,113.5
4718,119.9
3616,106.3
1473,67.8
1646,69.7
2335,93.2
3009,72.4
1960,84.5
2240,86.7
732,68.2
530,67
755,65
613,73.1
1837,116.7
2342,123.7
1582,106.3
152,162.5
12837,187.8
4376,100.6
4543,143.4
2919,155.6
1905,127.9
2868,91.2
1246,85.8
10923,281.3
1171,314.3
3579,100.5
1606,72.7
1834,81.6
331,70.3
1494,70.6
2912,90.6
11827,103.8
1380,93.7
1851,90.5
2683,85.4
321,101.6
17286,103.4
6437,184.5
4589,236.5
7910,214.5
2678,211.3
2591,154.3
1902,273.3
3737,141
2062,145.7
